Data,Temperatura,Umidade,IndiceCalor
1700597745,23.0,63.0,23.000326
1700597747,23.0,63.0,23.000326
1700597750,23.0,63.0,23.000326
1700597753,23.0,63.0,23.000326
1700597757,23.0,63.0,23.000326
1700597759,23.0,63.0,23.000326
1700597763,23.0,63.0,23.000326
1700597766,23.0,63.0,23.000326
1700597769,23.0,63.0,23.000326
1700597772,23.0,63.0,23.000326
1700597775,23.0,63.0,23.000326
1700597778,23.0,63.0,23.000326
1700597781,23.0,62.0,22.974216
1700597784,23.0,63.0,23.000326
1700597787,23.0,63.0,23.000326
1700597790,23.0,63.0,23.000326
1700597793,23.0,63.0,23.000326
1700597796,23.0,63.0,23.000326
1700597799,23.0,63.0,23.000326
1700597802,23.0,63.0,23.000326
1700597805,23.0,63.0,23.000326
1700597808,23.0,63.0,23.000326
1700597811,23.0,63.0,23.000326
1700597814,23.0,63.0,23.000326
1700597817,23.0,63.0,23.000326
1700597820,23.0,63.0,23.000326
1700597823,23.0,63.0,23.000326
1700597826,23.0,63.0,23.000326
1700597829,23.0,63.0,23.000326
1700597832,23.0,63.0,23.000326
1700597835,23.0,63.0,23.000326
1700597839,23.0,63.0,23.000326
1700597842,23.0,63.0,23.000326
1700597845,23.0,63.0,23.000326
1700597848,23.0,63.0,23.000326
1700597851,22.0,63.0,21.900335
1700597854,23.0,63.0,23.000326
1700597857,22.0,63.0,21.900335
1700597860,22.0,63.0,21.900335
1700597863,22.0,63.0,21.900335
1700597866,22.0,63.0,21.900335
1700597869,22.0,63.0,21.900335
1700597872,22.0,63.0,21.900335
1700597875,22.0,63.0,21.900335
1700597878,22.0,63.0,21.900335
1700597881,22.0,63.0,21.900335
1700597884,22.0,63.0,21.900335
1700597887,22.0,63.0,21.900335
1700597890,22.0,63.0,21.900335
1700597893,22.0,63.0,21.900335
1700597896,22.0,64.0,21.926445
1700597899,22.0,64.0,21.926445
1700597902,22.0,64.0,21.926445
1700597905,22.0,64.0,21.926445
1700597909,22.0,64.0,21.926445
1700597911,22.0,64.0,21.926445
1700597915,22.0,64.0,21.926445
1700597918,22.0,64.0,21.926445
1700597921,22.0,64.0,21.926445
1700597924,22.0,64.0,21.926445
1700597927,22.0,64.0,21.926445
1700597930,22.0,64.0,21.926445
1700597933,22.0,64.0,21.926445
