Data,Temperatura,Umidade,IndiceCalor,MudancaTemp,MudancaUmi,MudancaSen
1708981011,26.0,62.0,27.000433,0,0,0
1708981012,26.0,62.0,27.000433,0,0,0
1708981014,26.0,62.0,27.000433,0,0,0
1708981015,26.0,63.0,27.037058,0,0,0
1708981017,26.0,63.0,27.037058,0,0,0
1708981018,26.0,63.0,27.037058,0,0,0
1708981020,26.0,63.0,27.037058,0,0,0
1708981022,26.0,63.0,27.037058,0,0,0
1708981023,26.0,63.0,27.037058,0,0,0
1708981025,26.0,63.0,27.037058,0,0,0
1708981026,26.0,63.0,27.037058,0,0,0
1708981028,26.0,63.0,27.037058,0,0,0
1708981029,26.0,63.0,27.037058,0,0,0
1708981031,26.0,63.0,27.037058,0,0,0
1708981032,26.0,63.0,27.037058,0,0,0
1708981034,26.0,63.0,27.037058,0,0,0
1708981035,26.0,63.0,27.037058,0,0,0
1708981037,26.0,63.0,27.037058,0,0,0
1708981038,26.0,63.0,27.037058,0,0,0
1708981040,26.0,63.0,27.037058,0,0,0
1708981041,26.0,63.0,27.037058,0,0,0
1708981043,26.0,63.0,27.037058,0,0,0
1708981044,26.0,63.0,27.037058,0,0,0
1708981046,26.0,63.0,27.037058,0,0,0
1708981047,26.0,63.0,27.037058,0,0,0
1708981049,26.0,63.0,27.037058,0,0,0
1708981051,26.0,63.0,27.037058,0,0,0
1708981052,26.0,63.0,27.037058,0,0,0
1708981054,26.0,63.0,27.037058,0,0,0
1708981055,26.0,63.0,27.037058,0,0,0
1708981057,26.0,63.0,27.037058,0,0,0
1708981058,26.0,63.0,27.037058,0,0,0
1708981060,26.0,63.0,27.037058,0,0,0
1708981061,26.0,63.0,27.037058,0,0,0
1708981063,26.0,63.0,27.037058,0,0,0
1708981064,26.0,63.0,27.037058,0,0,0
1708981066,26.0,63.0,27.037058,0,0,0
1708981067,26.0,63.0,27.037058,0,0,0
1708981069,26.0,63.0,27.037058,0,0,0
1708981070,26.0,63.0,27.037058,0,0,0
1708981072,26.0,63.0,27.037058,0,0,0
1708981073,26.0,63.0,27.037058,0,0,0
1708981075,26.0,63.0,27.037058,0,0,0
1708981077,26.0,63.0,27.037058,0,0,0
1708981078,26.0,63.0,27.037058,0,0,0
1708981080,26.0,63.0,27.037058,0,0,0
1708981081,26.0,63.0,27.037058,0,0,0
1708981083,26.0,63.0,27.037058,0,0,0
1708981084,26.0,63.0,27.037058,0,0,0
1708981086,26.0,63.0,27.037058,0,0,0
1708981087,26.0,63.0,27.037058,0,0,0
1708981105,27.0,64.0,28.377401,0,0,0
1708981106,27.0,64.0,28.377401,0,0,0
1708981107,27.0,64.0,28.377401,0,0,0
1708981109,28.0,64.0,29.910242,0,0,0
1708981110,28.0,64.0,29.910242,0,0,0
1708981112,28.0,64.0,29.910242,0,0,0
1708981114,28.0,64.0,29.910242,0,0,0
1708981115,28.0,64.0,29.910242,0,0,0
1708981117,28.0,64.0,29.910242,0,0,0
1708981118,28.0,64.0,29.910242,0,0,0
1708981120,28.0,64.0,29.910242,0,0,0
1708981121,28.0,63.0,29.791813,0,0,0
1708981123,28.0,63.0,29.791813,0,0,0
1708981124,28.0,63.0,29.791813,0,0,0
1708981126,28.0,63.0,29.791813,0,0,0
1708981127,28.0,63.0,29.791813,0,0,0
1708981129,28.0,63.0,29.791813,0,0,0
1708981130,28.0,62.0,29.675547,0,0,0
1708981132,28.0,62.0,29.675547,0,0,0
1708981133,29.0,62.0,31.346249,0,0,0
1708981135,29.0,62.0,31.346249,0,0,0
1708981136,29.0,62.0,31.346249,0,0,0
1708981309,28.0,57.0,29.126606,0,0,0
1708981313,28.0,57.0,29.126606,0,0,0
1708981318,28.0,57.0,29.126606,0,0,0
1708981322,28.0,57.0,29.126606,0,0,0
1708981327,28.0,57.0,29.126606,0,0,0
1708981332,28.0,57.0,29.126606,0,0,0
1708981336,28.0,57.0,29.126606,0,0,0
1708981341,28.0,57.0,29.126606,0,0,0
1708981345,28.0,57.0,29.126606,0,0,0
1708981350,28.0,57.0,29.126606,0,0,0
1708981354,27.0,57.0,27.87007,0,0,0
1708981359,28.0,57.0,29.126606,0,0,0
1708981364,27.0,57.0,27.87007,0,0,0
1708981368,28.0,58.0,29.232077,0,0,0
1708981373,28.0,58.0,29.232077,0,0,0
1708981377,28.0,58.0,29.232077,0,0,0
1708981382,30.0,60.0,32.831703,0,0,0
1708981387,32.0,60.0,37.073914,0,0,0
1708981391,33.0,59.0,39.162094,0,0,0
1708981396,34.0,59.0,41.760849,0,0,0
1708981400,35.0,57.0,43.641167,0,0,0
1708981405,36.0,56.0,46.016296,0,0,0
1708981409,37.0,54.0,47.910069,0,0,0
1708981414,37.0,52.0,46.820999,0,0,0
1708981419,37.0,50.0,45.776035,0,0,0
1708981423,37.0,48.0,44.775181,0,0,0
1708981428,37.0,47.0,44.291294,0,0,0
1708981432,37.0,46.0,43.818436,0,0,1
1708981437,36.0,45.0,41.013863,0,0,0
1708981442,36.0,44.0,40.619686,0,0,0
1708981446,36.0,43.0,40.235615,0,0,0
1708981451,36.0,43.0,40.235615,0,0,0
1708981455,36.0,44.0,40.619686,0,0,0
1708981460,37.0,44.0,42.905792,0,0,0
1708981464,37.0,43.0,42.466011,0,0,0
1708981469,38.0,43.0,44.848766,0,0,0
1708981474,39.0,44.0,47.946445,0,0,0
1708981478,40.0,43.0,50.071301,0,0,0
1708981483,42.0,43.0,55.90321,0,0,0
1708981487,44.0,42.0,61.425507,0,0,0
1708981492,46.0,41.0,67.227119,0,0,0
1708981496,48.0,40.0,73.266922,0,0,0
1708981501,50.0,39.0,79.503471,0,0,0
1708981506,51.0,36.0,78.987579,0,0,0
1708981510,52.0,34.0,79.666237,0,0,0
1708981515,53.0,32.0,80.123688,0,0,0
1708981520,54.0,30.0,80.344559,0,0,0
1708981524,53.0,29.0,75.513092,0,0,0
1708981529,53.0,27.0,72.558998,0,0,0
1708981533,53.0,26.0,71.117836,0,0,0
1708981538,52.0,25.0,67.01033,0,0,0
1708981543,51.0,24.0,63.210655,0,0,0
1708981547,51.0,24.0,63.210655,0,0,0
1708981551,50.0,23.0,59.704426,0,0,0
1708981556,49.0,23.0,57.439926,0,0,0
1708981561,48.0,22.0,54.371479,0,0,0
1708981566,48.0,22.0,54.371479,0,0,0
