Data,Temperatura,Umidade,IndiceCalor,MudancaTemp,MudancaUmi,MudancaSen
1704908735,26.0,62.0,27.000433,0,0,0
1704908738,26.0,61.0,26.963837,0,0,0
1704908741,26.0,61.0,26.963837,0,0,0
1704908744,26.0,61.0,26.963837,0,0,0
1704908747,26.0,61.0,26.963837,0,0,0
1704908750,26.0,61.0,26.963837,0,0,0
1704908753,26.0,61.0,26.963837,0,0,0
1704908756,26.0,61.0,26.963837,0,0,0
1704908759,26.0,61.0,26.963837,0,0,0
1704908762,26.0,61.0,26.963837,0,0,0
1704908765,26.0,61.0,26.963837,0,0,0
1704908768,26.0,61.0,26.963837,0,0,0
1704908771,26.0,61.0,26.963837,0,0,0
1704908774,26.0,61.0,26.963837,0,0,0
1704908777,26.0,61.0,26.963837,0,0,0
1704908780,26.0,61.0,26.963837,0,0,0
1704908783,26.0,61.0,26.963837,0,0,0
1704908786,26.0,61.0,26.963837,0,0,0
1704908790,26.0,61.0,26.963837,0,0,0
1704908792,26.0,61.0,26.963837,0,0,0
1704908795,26.0,61.0,26.963837,0,0,0
1704908799,26.0,61.0,26.963837,0,0,0
1704908802,26.0,61.0,26.963837,0,0,0
1704908807,26.0,61.0,26.963837,0,0,0
1704908816,26.0,61.0,26.963837,0,0,0
1704908825,27.0,61.0,28.153358,0,0,0
1704908834,27.0,61.0,28.153358,0,0,0
1704908843,27.0,61.0,28.153358,0,0,0
1704908852,27.0,60.0,28.080885,0,0,0
1704908861,27.0,60.0,28.080885,0,0,0
1704908870,27.0,60.0,28.080885,0,0,0
1704908879,28.0,60.0,29.44949,0,0,0
1704908888,28.0,59.0,29.339705,0,0,0
1704908898,28.0,59.0,29.339705,0,0,0
1704908907,28.0,59.0,29.339705,0,0,0
1704908916,29.0,58.0,30.73275,0,0,0
1704908925,29.0,58.0,30.73275,0,0,0
1704908934,29.0,57.0,30.587381,0,0,0
1704908943,30.0,57.0,32.252403,0,0,0
1704908952,30.0,56.0,32.067768,0,0,0
1704908961,30.0,56.0,32.067768,0,0,0
1704908970,31.0,57.0,34.121677,0,1,1
1704908980,35.0,60.0,45.049721,0,0,0
1704908988,40.0,56.0,59.327892,0,1,0
1704908997,42.0,50.0,61.654869,0,0,0
1704909007,44.0,46.0,65.204239,1,0,0
1704909016,44.0,42.0,61.425507,1,0,1
1704909025,44.0,39.0,58.771225,1,0,1
1704909034,44.0,34.0,54.689842,1,0,1
1704909043,44.0,32.0,53.177139,1,1,1
1704909052,43.0,30.0,49.430782,1,1,1
1704909061,43.0,29.0,48.805073,1,1,1
1704909070,42.0,28.0,46.127739,1,1,1
1704909079,42.0,28.0,46.127739,0,1,0
1704909089,41.0,28.0,44.153454,1,1,0
1704909098,41.0,27.0,43.686371,0,1,1
1704909107,44.0,26.0,49.049938,0,1,0
1704909116,47.0,28.0,57.403542,1,1,0
1704909125,50.0,29.0,66.475479,0,0,0
1704909134,56.0,30.0,87.286575,0,0,0
1704909143,59.0,28.0,94.015045,0,1,0
1704909152,62.0,26.0,100.115288,0,0,0
1704909161,61.0,24.0,91.790581,0,0,0
1704909170,60.0,23.0,86.382645,0,1,0
