Data,Temperatura,Umidade,IndiceCalor,MudancaTemp,MudancaUmi,MudancaSen
1708977435,26.0,66.0,27.14712,0,0,0
1708977444,26.0,66.0,27.14712,0,0,0
1708977453,26.0,66.0,27.14712,0,0,0
1708977462,26.0,66.0,27.14712,0,0,0
1708977471,26.0,66.0,27.14712,0,0,0
1708977480,26.0,66.0,27.14712,0,0,0
1708977489,26.0,66.0,27.14712,0,0,0
1708977498,26.0,66.0,27.14712,0,0,0
1708977508,26.0,66.0,27.14712,0,0,0
1708977516,26.0,66.0,27.14712,0,0,0
1708977526,26.0,66.0,27.14712,0,0,0
1708977535,26.0,66.0,27.14712,0,0,0
1708977544,26.0,66.0,27.14712,0,0,0
1708977553,26.0,66.0,27.14712,0,0,0
1708977562,26.0,66.0,27.14712,0,0,0
1708977571,26.0,66.0,27.14712,0,0,0
1708977580,26.0,66.0,27.14712,0,0,0
1708977589,26.0,66.0,27.14712,0,0,0
1708977598,26.0,66.0,27.14712,0,0,0
1708977607,26.0,66.0,27.14712,0,0,0
1708977616,26.0,66.0,27.14712,0,0,0
1708977625,26.0,66.0,27.14712,0,0,0
1708977635,26.0,66.0,27.14712,0,0,0
1708977644,26.0,66.0,27.14712,0,0,0
1708977653,26.0,66.0,27.14712,0,0,0
1708977662,26.0,66.0,27.14712,0,0,0
1708977671,26.0,66.0,27.14712,0,0,0
1708977680,26.0,66.0,27.14712,0,0,0
1708977689,26.0,66.0,27.14712,0,0,0
1708977698,27.0,66.0,28.532282,0,0,0
1708977847,26.0,63.0,27.037058,0,0,0
1708977849,26.0,63.0,27.037058,0,0,0
1708977850,26.0,63.0,27.037058,0,0,0
1708977852,26.0,63.0,27.037058,0,0,0
1708977853,26.0,63.0,27.037058,0,0,0
1708977855,26.0,63.0,27.037058,0,0,0
1708977857,26.0,63.0,27.037058,0,0,0
1708977858,26.0,63.0,27.037058,0,0,0
1708977860,26.0,63.0,27.037058,0,0,0
1708977861,26.0,63.0,27.037058,0,0,0
1708977863,26.0,63.0,27.037058,0,0,0
1708977864,26.0,63.0,27.037058,0,0,0
1708977866,26.0,63.0,27.037058,0,0,0
1708977867,26.0,63.0,27.037058,0,0,0
1708977869,26.0,63.0,27.037058,0,0,0
1708977870,26.0,63.0,27.037058,0,0,0
1708977872,26.0,63.0,27.037058,0,0,0
1708977873,26.0,63.0,27.037058,0,0,0
1708977875,26.0,63.0,27.037058,0,0,0
1708977876,26.0,63.0,27.037058,0,0,0
1708977878,26.0,64.0,27.073711,0,0,0
1708977879,26.0,64.0,27.073711,0,0,0
1708977881,26.0,64.0,27.073711,0,0,0
1708977883,26.0,64.0,27.073711,0,0,0
1708977884,26.0,64.0,27.073711,0,0,0
1708977886,26.0,64.0,27.073711,0,0,0
1708977887,26.0,64.0,27.073711,0,0,0
1708977889,26.0,64.0,27.073711,0,0,0
1708977890,27.0,64.0,28.377401,0,0,0
1708977892,27.0,64.0,28.377401,0,0,0
1708977893,27.0,64.0,28.377401,0,0,0
1708977895,27.0,64.0,28.377401,0,0,0
1708977896,27.0,64.0,28.377401,0,0,0
1708977898,27.0,64.0,28.377401,0,0,0
1708977899,27.0,64.0,28.377401,0,0,0
1708977901,27.0,64.0,28.377401,0,0,0
1708977902,27.0,64.0,28.377401,0,0,0
1708977904,27.0,64.0,28.377401,0,0,0
1708977905,27.0,64.0,28.377401,0,0,0
1708977907,27.0,64.0,28.377401,0,0,0
1708977909,27.0,64.0,28.377401,0,0,0
1708977910,27.0,64.0,28.377401,0,0,0
1708977912,27.0,64.0,28.377401,0,0,0
1708977913,27.0,64.0,28.377401,0,0,0
1708977915,27.0,64.0,28.377401,0,0,0
1708977916,27.0,64.0,28.377401,0,0,0
1708977918,27.0,64.0,28.377401,0,0,0
1708977919,27.0,64.0,28.377401,0,0,0
1708977921,27.0,64.0,28.377401,0,0,1
1708977922,27.0,64.0,28.377401,0,0,0
1708977924,27.0,64.0,28.377401,0,0,1
1708977925,27.0,64.0,28.377401,0,0,0
1708977927,27.0,64.0,28.377401,0,0,1
1708977928,27.0,64.0,28.377401,1,0,0
1708977930,28.0,64.0,29.910242,1,0,0
1708977931,28.0,64.0,29.910242,0,0,0
1708977933,28.0,64.0,29.910242,1,0,0
1708977935,28.0,64.0,29.910242,0,0,0
1708977936,28.0,63.0,29.791813,0,0,0
1708977938,28.0,63.0,29.791813,0,0,1
1708977939,28.0,63.0,29.791813,1,0,0
1708977941,28.0,63.0,29.791813,0,0,0
1708977942,28.0,63.0,29.791813,0,0,0
1708977944,28.0,63.0,29.791813,0,0,0
1708977945,28.0,63.0,29.791813,0,0,0
1708977947,28.0,63.0,29.791813,1,0,1
1708977948,28.0,64.0,29.910242,0,0,0
1708977950,28.0,64.0,29.910242,0,0,0
1708977951,28.0,63.0,29.791813,0,0,0
1708977953,28.0,63.0,29.791813,0,0,0
1708977954,28.0,63.0,29.791813,0,0,1
1708977956,28.0,63.0,29.791813,1,0,1
1708977957,28.0,63.0,29.791813,0,0,0
1708977959,28.0,63.0,29.791813,0,0,1
1708977961,28.0,63.0,29.791813,1,0,0
1708977962,28.0,63.0,29.791813,0,0,0
1708977964,28.0,63.0,29.791813,1,0,1
1708977965,28.0,63.0,29.791813,0,0,0
1708977967,28.0,63.0,29.791813,0,0,0
1708977968,28.0,63.0,29.791813,1,0,1
1708977970,28.0,63.0,29.791813,0,0,0
1708977971,28.0,63.0,29.791813,0,0,0
1708977973,28.0,62.0,29.675547,0,0,0
1708977974,28.0,62.0,29.675547,0,0,0
1708977976,28.0,63.0,29.791813,1,0,1
1708977977,28.0,63.0,29.791813,0,0,0
1708977979,30.0,63.0,33.449078,0,0,0
1708977980,30.0,63.0,33.449078,0,0,0
1708977982,31.0,63.0,35.61615,0,0,0
1708977983,31.0,63.0,35.61615,0,0,0
1708977985,31.0,62.0,35.353958,0,0,0
1708977986,31.0,62.0,35.353958,0,0,0
1708977988,31.0,62.0,35.353958,0,0,0
1708977990,31.0,62.0,35.353958,0,0,0
1708977991,32.0,61.0,37.379311,0,0,1
1708977993,32.0,61.0,37.379311,1,0,1
1708977994,32.0,60.0,37.073914,1,0,1
1708977996,32.0,60.0,37.073914,1,1,1
1708977997,32.0,60.0,37.073914,1,0,1
1708977999,32.0,60.0,37.073914,1,0,0
1708978000,32.0,59.0,36.774754,1,0,1
1708978002,32.0,59.0,36.774754,0,1,0
1708978003,32.0,59.0,36.774754,1,1,0
1708978005,32.0,59.0,36.774754,0,1,1
1708978006,32.0,58.0,36.481846,1,1,0
1708978008,32.0,58.0,36.481846,0,1,0
1708978010,32.0,58.0,36.481846,0,1,0
1708978011,32.0,58.0,36.481846,0,1,0
1708978013,32.0,57.0,36.195175,1,1,0
1708978014,32.0,57.0,36.195175,0,0,0
1708978016,32.0,56.0,35.914757,0,1,1
1708978017,32.0,56.0,35.914757,0,0,0
1708978019,32.0,56.0,35.914757,0,0,0
1708978020,32.0,56.0,35.914757,0,1,0
1708978061,30.0,53.0,31.539232,0,0,0
1708978063,30.0,53.0,31.539232,0,0,0
1708978065,30.0,53.0,31.539232,0,0,0
1708978066,30.0,53.0,31.539232,0,0,0
1708978068,30.0,53.0,31.539232,0,0,0
1708978069,30.0,53.0,31.539232,0,0,0
1708978071,30.0,53.0,31.539232,0,0,0
1708978072,30.0,53.0,31.539232,0,0,0
1708978074,30.0,53.0,31.539232,0,0,0
1708978075,30.0,53.0,31.539232,0,0,0
1708978077,30.0,53.0,31.539232,0,0,0
1708978078,30.0,53.0,31.539232,0,0,0
1708978080,29.0,53.0,30.037924,0,0,0
1708978081,29.0,53.0,30.037924,0,0,0
1708978092,29.0,53.0,30.037924,0,0,0
1708978094,29.0,53.0,30.037924,0,0,0
1708978095,29.0,54.0,30.170486,0,0,0
1708978097,29.0,54.0,30.170486,0,0,0
1708978098,30.0,54.0,31.711182,0,0,0
1708978100,30.0,54.0,31.711182,0,0,0
1708978104,30.0,54.0,31.711182,0,0,0
1708978106,30.0,54.0,31.711182,0,0,0
1708978114,30.0,54.0,31.711182,0,0,0
1708978115,30.0,54.0,31.711182,0,0,0
1708978120,32.0,55.0,35.640575,0,0,0
1708978121,32.0,55.0,35.640575,0,0,0
1708978123,32.0,55.0,35.640575,0,0,0
1708978124,32.0,55.0,35.640575,0,0,0
1708978126,33.0,54.0,37.493412,0,0,0
1708978128,33.0,54.0,37.493412,0,0,0
1708978129,33.0,54.0,37.493412,0,0,0
1708978131,33.0,54.0,37.493412,0,0,0
1708978132,34.0,54.0,39.807533,0,0,0
1708978134,34.0,54.0,39.807533,0,0,0
1708978135,34.0,54.0,39.807533,0,0,0
1708978137,34.0,54.0,39.807533,0,0,0
1708978138,34.0,54.0,39.807533,0,0,0
1708978140,34.0,54.0,39.807533,0,0,0
1708978141,34.0,54.0,39.807533,0,0,0
1708978143,34.0,54.0,39.807533,0,0,0
1708978144,34.0,54.0,39.807533,0,0,0
1708978146,34.0,54.0,39.807533,0,0,0
1708978148,35.0,54.0,42.315022,0,0,0
1708978149,35.0,54.0,42.315022,0,0,0
1708978151,36.0,53.0,44.530807,0,0,0
1708978152,36.0,53.0,44.530807,0,0,0
1708978153,37.0,53.0,47.36002,0,0,0
1708978155,37.0,53.0,47.36002,0,0,0
1708978157,38.0,52.0,49.772198,0,0,0
1708978158,38.0,52.0,49.772198,0,0,0
1708978160,42.0,52.0,63.437263,0,0,0
1708978161,42.0,52.0,63.437263,0,0,0
1708978163,47.0,51.0,83.342308,0,0,0
1708978164,47.0,51.0,83.342308,0,0,0
1708978166,53.0,50.0,112.30909,0,0,0
1708978167,53.0,50.0,112.30909,0,0,0
1708978169,58.0,50.0,142.479523,0,0,0
1708978170,58.0,50.0,142.479523,0,0,0
1708978172,62.0,49.0,166.586655,0,0,0
1708978173,62.0,49.0,166.586655,1,0,1
1708978175,66.0,48.0,192.276459,1,0,1
1708978176,66.0,48.0,192.276459,0,0,0
1708978178,68.0,47.0,203.573929,1,0,1
1708978179,68.0,47.0,203.573929,0,1,1
1708978181,71.0,45.0,218.168869,1,0,1
1708978183,71.0,45.0,218.168869,0,1,0
1708978184,72.0,43.0,216.507584,1,0,1
1708978186,72.0,43.0,216.507584,0,0,1
1708978187,76.0,41.0,237.236221,1,0,0
1708978189,76.0,41.0,237.236221,0,1,1
